iter	Passed	Remaining
0	16	11218
1	28	9871
2	41	9723
3	51	9009
4	64	8914
5	80	9302
6	91	9012
7	100	8683
8	109	8381
9	115	7965
10	123	7727
11	132	7586
12	141	7465
13	151	7414
14	160	7313
15	168	7210
16	178	7163
17	187	7095
18	197	7090
19	207	7071
20	215	6968
21	224	6916
22	232	6830
23	240	6781
24	249	6733
25	257	6673
26	264	6585
27	271	6515
28	278	6448
29	285	6382
30	292	6311
31	299	6252
32	306	6197
33	314	6163
34	321	6106
35	328	6054
36	335	6004
37	341	5948
38	347	5894
39	353	5838
40	361	5806
41	367	5756
42	373	5711
43	379	5664
44	385	5614
45	391	5570
46	397	5517
47	402	5468
48	408	5422
49	413	5378
50	418	5330
51	424	5293
52	432	5273
53	437	5236
54	443	5203
55	449	5172
56	455	5138
57	461	5106
58	467	5074
59	473	5045
60	478	5014
61	484	4985
62	490	4962
63	497	4944
64	504	4923
65	510	4906
66	515	4874
67	521	4846
68	527	4821
69	532	4793
70	538	4773
71	545	4754
72	550	4729
73	557	4714
74	565	4715
75	572	4697
76	577	4673
77	583	4653
78	592	4653
79	598	4641
80	609	4659
81	616	4649
82	623	4631
83	631	4630
84	637	4615
85	643	4595
86	651	4592
87	659	4586
88	667	4580
89	674	4568
90	680	4553
91	686	4538
92	693	4527
93	699	4509
94	705	4495
95	711	4477
96	717	4461
97	723	4443
98	729	4425
99	735	4413
100	744	4417
101	753	4420
102	760	4406
103	767	4398
104	772	4379
105	778	4363
106	784	4346
107	796	4365
108	804	4360
109	810	4345
110	816	4331
111	822	4319
112	829	4310
113	836	4301
114	843	4292
115	850	4280
116	855	4264
117	862	4253
118	869	4242
119	874	4228
120	881	4218
121	889	4212
122	895	4202
123	902	4192
124	908	4177
125	914	4167
126	920	4153
127	926	4138
128	933	4131
129	938	4116
130	945	4106
131	951	4096
132	959	4091
133	965	4078
134	971	4064
135	976	4048
136	981	4032
137	986	4017
138	993	4008
139	999	3996
140	1005	3985
141	1010	3970
142	1015	3956
143	1021	3944
144	1027	3933
145	1032	3919
146	1038	3905
147	1044	3895
148	1050	3883
149	1055	3871
150	1061	3859
151	1068	3851
152	1074	3841
153	1080	3829
154	1086	3819
155	1092	3809
156	1098	3800
157	1105	3791
158	1111	3781
159	1119	3779
160	1127	3773
161	1135	3771
162	1141	3760
163	1147	3749
164	1152	3738
165	1159	3728
166	1165	3718
167	1170	3707
168	1176	3696
169	1183	3689
170	1191	3684
171	1198	3678
172	1204	3670
173	1211	3661
174	1221	3665
